,dreamteam_count,now_cost,points_per_game,selected_by_percent,total_points,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,team,position,player_name
34,3,5.0,3.3,6.9,118,1115956,1243549,3188,1,4,11,49,0,0,0,11,0,0,12,596,667.2,130.9,309.0,110.6,Aston Villa,Defender,Tyrone Mings
35,1,7.5,3.7,9.1,131,3499976,3056403,2950,11,3,10,48,0,0,0,7,0,0,17,441,613.8,469.6,1345.0,242.9,Aston Villa,Forward,Ollie Watkins
36,0,4.4,1.4,0.1,22,25124,32183,899,0,0,2,20,0,0,0,5,0,0,0,124,139.2,42.2,0.0,18.3,Aston Villa,Midfielder,Marvelous Nakamba
37,2,6.1,3.1,1.3,107,245664,553313,1887,4,6,7,32,0,0,0,1,0,0,8,378,482.8,660.5,531.0,167.8,Aston Villa,Midfielder,Emiliano Buendía Stati
38,3,5.3,3.9,11.5,147,2025221,1193273,3377,4,3,13,50,0,0,0,8,0,0,11,623,754.8,432.1,534.0,172.1,Aston Villa,Defender,Matthew Cash
39,1,4.9,2.7,0.9,78,239492,263840,2477,2,0,8,43,0,0,0,4,2,0,4,388,428.2,56.5,251.0,73.4,Aston Villa,Defender,Ezri Konsa Ngoyo
40,0,5.4,1.0,0.1,1,9629,27272,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.0,Aston Villa,Forward,Wesley Moraes
41,0,4.5,1.0,1.4,1,347758,424534,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.0,0.0,0.1,Aston Villa,Forward,Keinan Davis
42,0,4.3,2.6,1.9,89,621406,553863,2715,2,3,10,38,0,0,0,7,0,0,3,468,503.2,547.9,199.0,125.1,Aston Villa,Midfielder,Douglas Luiz Soares de Paulo
43,3,4.7,3.2,4.9,109,1608958,1224264,2465,6,1,12,35,0,0,0,6,0,0,9,402,538.2,334.0,432.0,130.7,Aston Villa,Midfielder,Jacob Ramsey
44,0,4.7,2.1,0.5,50,77403,124937,1234,0,2,4,19,1,0,0,2,0,0,0,224,187.4,201.9,113.0,50.2,Aston Villa,Defender,Ashley Young
45,0,5.0,2.9,5.9,83,1209188,2123002,2440,0,4,7,42,1,0,0,6,0,0,8,459,538.8,772.7,202.0,151.6,Aston Villa,Defender,Lucas Digne
46,1,7.7,3.5,9.3,106,1796002,3904674,1891,7,6,10,26,0,0,0,4,0,0,12,344,448.6,210.9,749.0,140.3,Aston Villa,Forward,Danny Ings
47,0,6.3,2.1,0.4,37,82553,250477,750,1,3,2,13,0,0,0,3,0,0,1,98,143.2,118.5,271.0,53.2,Aston Villa,Midfielder,Leon Bailey
48,0,5.0,1.0,0.0,1,1105,2552,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Aston Villa,Midfielder,Jaden Philogene-Bidace
49,0,4.5,1.3,0.1,16,8866,8807,291,0,1,0,6,0,0,0,0,0,0,0,43,44.0,34.6,69.0,14.9,Aston Villa,Midfielder,Carney Chukwuemeka
50,0,4.5,1.0,0.8,3,271066,230443,24,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.8,18.0,1.6,Aston Villa,Forward,Cameron Archer
51,0,4.5,1.3,0.0,4,679,442,90,0,0,1,0,0,0,0,1,0,0,0,17,10.6,2.0,4.0,1.7,Aston Villa,Midfielder,Tim Iroegbunam
52,2,7.1,4.4,10.6,83,3249482,2323243,1327,5,3,7,17,0,0,0,0,0,0,7,283,360.8,349.3,445.0,115.7,Aston Villa,Midfielder,Philippe Coutinho Correia
